[DEBUG] 2019-10-02 19-23-19.662 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2019-10-02 19-23-19.667 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2019-10-02 19-23-19.671 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2019-10-02 19-23-19.765 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2019-10-02 19-23-19.768 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2019-10-02 19-23-19.993 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2019-10-02 19-23-19.995 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2019-10-02 19-23-20.000 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2019-10-02 19-23-20.260 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2019-10-02 19-23-20.278 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2019-10-02 19-23-20.278 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2019-10-02 19-23-20.294 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2019-10-02 19-23-20.478 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@546621c4
[DEBUG] 2019-10-02 19-23-20.479 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@546621c4
[DEBUG] 2019-10-02 19-23-20.479 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@546621c4
[DEBUG] 2019-10-02 19-23-20.479 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@4dafba3e
[DEBUG] 2019-10-02 19-23-20.480 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@4ed38226
[DEBUG] 2019-10-02 19-23-20.480 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@35ff8fc9
[DEBUG] 2019-10-02 19-23-20.481 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@6e106680
[DEBUG] 2019-10-02 19-23-20.481 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@6e106680
[DEBUG] 2019-10-02 19-23-20.481 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@6e106680
[DEBUG] 2019-10-02 19-23-20.482 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@352e787a
